drill,hole,prob_xgb,label_real,threshold_xgb
drill_4mm_09_batch_00_collet_1_31-01-2025,18,0.25848404,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,19,0.2672847,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,20,0.43994945,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,21,0.84551954,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,22,0.4239606,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,23,0.37475598,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,24,0.37741685,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,25,0.12174316,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,26,0.80522996,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,27,0.8972761,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,28,0.89400697,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,29,0.96209985,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,30,0.9573882,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,31,0.78380483,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,32,0.91696596,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,33,0.922585,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,34,0.50117433,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,35,0.1407055,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,36,0.18600334,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,37,0.66507345,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,38,0.9463033,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,39,0.9656452,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,40,0.9876716,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,41,0.9857767,0,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,42,0.93477863,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,43,0.9351247,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,44,0.9900029,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,45,0.87338537,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,46,0.81520057,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,47,0.96454597,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,48,0.7785947,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,49,0.6406349,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,50,0.92988664,1,0.1
drill_4mm_09_batch_00_collet_1_31-01-2025,51,0.9132576,1,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,1,0.00212372,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,2,0.0010218084,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,3,0.0011357107,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,4,0.0012474962,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,5,0.004727189,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,6,0.024610048,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,7,0.24738355,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,8,0.32195404,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,9,0.75900435,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,10,0.19640933,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,11,0.3608397,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,12,0.30832765,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,13,0.24368563,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,14,0.82643914,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,15,0.9151241,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,16,0.94311905,0,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,17,0.54627144,1,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,18,0.51618713,1,0.1
drill_4mm_11_batch_00_collet_1_05-02-2025,19,0.5556521,1,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,1,0.005784575,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,2,0.0031859495,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,3,0.003091108,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,4,0.003055871,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,5,0.006917553,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,6,0.0019594615,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,7,0.0132998945,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,8,0.0064625926,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,9,0.013178317,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,10,0.006088708,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,11,0.0046939105,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,12,0.03851576,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,13,0.06814866,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,14,0.09700814,0,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,15,0.014671566,1,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,16,0.66775197,1,0.1
drill_4mm_12_batch_01_collet_1_05-02-2025,17,0.5137496,1,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,1,0.0035194363,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,2,0.0028569673,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,3,0.00854003,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,4,0.0009743919,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,5,0.0030784444,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,6,0.12250894,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,7,0.003653825,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,8,0.005191737,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,9,0.0022904365,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,10,0.008445048,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,11,0.0018823759,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,12,0.0015548007,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,13,0.008373225,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,14,0.06904817,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,15,0.50121486,0,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,16,0.14630607,1,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,17,0.7829035,1,0.1
drill_4mm_13_batch_01_collet_1_05-02-2025,18,0.09888936,1,0.1
